workload,prompt_idx,policy,error_type,K,accepted_or_entropy
humaneval,18,fixed_1,Under-Drafting,1,0.07538455724716187
humaneval,19,fixed_1,Under-Drafting,1,0.11083139479160309
humaneval,19,fixed_1,Under-Drafting,1,0.03757686913013458
humaneval,19,fixed_1,Under-Drafting,1,0.15334013104438782
humaneval,19,fixed_1,Under-Drafting,1,0.0006769781466573477
humaneval,19,fixed_1,Under-Drafting,1,0.05414184555411339
humaneval,19,fixed_1,Under-Drafting,1,0.186482235789299
humaneval,19,fixed_1,Under-Drafting,1,0.04824789986014366
humaneval,19,fixed_1,Under-Drafting,1,0.030281629413366318
humaneval,19,fixed_1,Under-Drafting,1,0.008974109776318073
humaneval,20,fixed_1,Under-Drafting,1,0.1504211723804474
humaneval,20,fixed_1,Under-Drafting,1,0.06330333650112152
humaneval,20,fixed_1,Under-Drafting,1,0.009210933931171894
humaneval,20,fixed_1,Under-Drafting,1,0.114423468708992
humaneval,20,fixed_1,Under-Drafting,1,0.12410963326692581
humaneval,20,fixed_1,Under-Drafting,1,0.17642268538475037
humaneval,20,fixed_1,Under-Drafting,1,0.01738549768924713
humaneval,20,fixed_1,Under-Drafting,1,0.031697873026132584
humaneval,20,fixed_1,Under-Drafting,1,0.19790275394916534
humaneval,20,fixed_1,Under-Drafting,1,0.03259844332933426
humaneval,20,fixed_1,Under-Drafting,1,0.03501424938440323
humaneval,20,fixed_1,Under-Drafting,1,0.022167401388287544
humaneval,20,fixed_1,Under-Drafting,1,0.15726158022880554
humaneval,21,fixed_1,Under-Drafting,1,0.08145386725664139
humaneval,21,fixed_1,Under-Drafting,1,0.09875261783599854
humaneval,21,fixed_1,Under-Drafting,1,0.0028149907011538744
humaneval,21,fixed_1,Under-Drafting,1,0.026868494227528572
humaneval,21,fixed_1,Under-Drafting,1,0.030535412952303886
humaneval,21,fixed_1,Under-Drafting,1,0.1417018324136734
humaneval,21,fixed_1,Under-Drafting,1,0.02177410200238228
humaneval,21,fixed_1,Under-Drafting,1,0.02029811032116413
humaneval,21,fixed_1,Under-Drafting,1,0.016771303489804268
humaneval,21,fixed_1,Under-Drafting,1,0.08028078079223633
humaneval,21,fixed_1,Under-Drafting,1,0.09069103002548218
humaneval,21,fixed_1,Under-Drafting,1,0.025279829278588295
humaneval,21,fixed_1,Under-Drafting,1,0.10608929395675659
humaneval,21,fixed_1,Under-Drafting,1,0.06964804977178574
humaneval,21,fixed_1,Under-Drafting,1,0.06004403531551361
humaneval,21,fixed_1,Under-Drafting,1,0.10095272958278656
humaneval,21,fixed_1,Under-Drafting,1,0.008292111568152905
humaneval,21,fixed_1,Under-Drafting,1,0.010525336489081383
humaneval,22,fixed_1,Under-Drafting,1,0.06222473829984665
humaneval,22,fixed_1,Under-Drafting,1,0.17659997940063477
humaneval,22,fixed_1,Under-Drafting,1,0.02157360501587391
humaneval,22,fixed_1,Under-Drafting,1,0.035163991153240204
humaneval,22,fixed_1,Under-Drafting,1,0.03860493004322052
humaneval,22,fixed_1,Under-Drafting,1,0.020719006657600403
humaneval,22,fixed_1,Under-Drafting,1,0.0006627843831665814
humaneval,22,fixed_1,Under-Drafting,1,0.06741444766521454
humaneval,22,fixed_1,Under-Drafting,1,0.005586578510701656
humaneval,22,fixed_1,Under-Drafting,1,0.0017624711617827415
humaneval,22,fixed_1,Under-Drafting,1,0.006270408630371094
humaneval,22,fixed_1,Under-Drafting,1,0.04053917154669762
humaneval,22,fixed_1,Under-Drafting,1,0.0684000551700592
humaneval,22,fixed_1,Under-Drafting,1,0.1684272438287735
humaneval,22,fixed_1,Under-Drafting,1,0.06987903267145157
humaneval,23,fixed_1,Under-Drafting,1,0.1547767072916031
humaneval,23,fixed_1,Under-Drafting,1,0.0517321415245533
humaneval,23,fixed_1,Under-Drafting,1,0.16658160090446472
humaneval,23,fixed_1,Under-Drafting,1,0.029658634215593338
humaneval,23,fixed_1,Under-Drafting,1,0.10799010097980499
humaneval,23,fixed_1,Under-Drafting,1,0.025054432451725006
humaneval,23,fixed_1,Under-Drafting,1,0.003475804813206196
humaneval,23,fixed_1,Under-Drafting,1,0.1089744046330452
humaneval,23,fixed_1,Under-Drafting,1,0.008242504671216011
humaneval,23,fixed_1,Under-Drafting,1,0.003365670796483755
humaneval,23,fixed_1,Under-Drafting,1,0.03601039573550224
humaneval,23,fixed_1,Under-Drafting,1,0.0034194099716842175
humaneval,23,fixed_1,Under-Drafting,1,0.002407768042758107
humaneval,24,fixed_1,Under-Drafting,1,0.10869963467121124
humaneval,24,fixed_1,Under-Drafting,1,0.08582255989313126
humaneval,24,fixed_1,Under-Drafting,1,0.07605086266994476
humaneval,24,fixed_1,Under-Drafting,1,0.034380052238702774
humaneval,24,fixed_1,Under-Drafting,1,0.030872546136379242
humaneval,24,fixed_1,Under-Drafting,1,0.06165673956274986
humaneval,24,fixed_1,Under-Drafting,1,0.06994543224573135
humaneval,24,fixed_1,Under-Drafting,1,0.030952751636505127
humaneval,24,fixed_1,Under-Drafting,1,0.06669554114341736
humaneval,24,fixed_1,Under-Drafting,1,0.14724670350551605
humaneval,24,fixed_1,Under-Drafting,1,0.16057264804840088
humaneval,24,fixed_1,Under-Drafting,1,0.15489789843559265
humaneval,24,fixed_1,Under-Drafting,1,0.004553527105599642
humaneval,25,fixed_1,Under-Drafting,1,0.06533898413181305
humaneval,25,fixed_1,Under-Drafting,1,0.03501538932323456
humaneval,25,fixed_1,Under-Drafting,1,0.0008200868032872677
humaneval,25,fixed_1,Under-Drafting,1,0.01277369074523449
humaneval,25,fixed_1,Under-Drafting,1,0.03656606003642082
humaneval,25,fixed_1,Under-Drafting,1,0.01925775595009327
humaneval,25,fixed_1,Under-Drafting,1,0.025818537920713425
humaneval,25,fixed_1,Under-Drafting,1,0.00323287770152092
